Company,ESG_Risk_Score,ESG_Risk_Level,Positive,Negative,Neutral,Chunks
"Hasbro, Inc.",7.1,Negligible,0.057326644511991424,0.15746739139094165,0.7852059587051994,19
"Keysight Technologies, Inc.",7.6,Negligible,0.07602189129535505,0.06129971120823571,0.8626783945141955,94
"Cbre Group, Inc.",8.0,Negligible,0.11193315613962396,0.0678170553579087,0.8202497940248167,71
Cdw Corporation,9.2,Negligible,0.14273892756318673,0.022055056237149984,0.8352060146862641,32
Accenture Plc,9.8,Negligible,0.14594601094722748,0.02383788385869641,0.8302161087069595,57
"Global Payments, Inc.",20.9,Medium,0.13944878408478367,0.01968866497002266,0.8408625418389285,54
D.R. Horton Inc.,21.0,Medium,0.12255264181982387,0.04756184809587218,0.8298854987729679,55
"Cboe Global Markets, Inc.",21.0,Medium,0.09096360896472577,0.030415512414442167,0.8786208806214509,27
"Marsh & Mclennan Companies, Inc.",21.1,Medium,0.11810239930839642,0.030621020001885685,0.8512765920680502,23
Intuitive Surgical Inc.,21.1,Medium,0.13396049565390536,0.02107551897336778,0.8449639893676105,38
"General Mills, Inc.",21.1,Medium,0.16069340184774428,0.01820216198185725,0.8211044394189403,84
Transdigm Group Incorporated,38.7,High,0.10618977815223236,0.032898492141005896,0.8609117344021797,24
Apa Corporation,38.8,High,0.1284281101597603,0.03938212038862497,0.832189765910423,86
Boeing Company,39.6,High,0.13287341272966427,0.023878050403613033,0.8432485434142026,66
General Electric Company,40.5,Severe,0.07332775149041333,0.2150975685264613,0.7115746748608511,74
Exxon Mobil Corporation,41.6,Severe,0.12965789306908845,0.034996654521673914,0.8353454503417015,50
Occidental Petroleum Corporation,41.7,Severe,0.1485921288219591,0.02501306268386543,0.8263948154946168,60
